Date,ICE NBP,ICE TTF,OTC LEBA TTF,OTC LEBA NBP,EEX TTF,EEX THE,EEX PEG
2019-01-01,778290,1318299,2347370655,546062443,88915180,,10712244
2019-02-01,629780,1322450,2418962453,525889994,95769545,,11582679
2019-03-01,833260,1985327,2723912634,616189691,133080893,,11263347
2019-04-01,863250,1862383,2315103047,470771596,121394210,,11534364
2019-05-01,786350,1633237,2150714806,447768204,158361104,,16819251
2019-06-01,718105,1701706,2096420463,399818599,143467283,,9474452
2019-07-01,814050,1974763,2267388270,394615255,177158553,,9001657
2019-08-01,623080,1512292,1832790747,359560138,142130359,,11761694
2019-09-01,824815,2023848,2191292143,411197370,122969454,,9811080
2019-10-01,662235,1757722,2026306624,427098093,127482877,,10303973
2019-11-01,619760,2015845,1950682193,399553769,107313743,,13478783
2019-12-01,602820,2133428,1774970258,348915729,104869682,,14499745
2020-01-01,813055,3738028,3154985258,492553244,157289832,45482603,16157073
2020-02-01,808311,2957241,2628200397,443285155,147549216,37537180,11171203
2020-03-01,764170,3668254,3407341998,390323220,182380059,38158076,15101216
2020-04-01,597810,2549380,2231090465,396399429,131873422,34251197,12672203
2020-05-01,644350,2559076,2037430893,341260466,93924707,34241418,11677569
2020-06-01,644350,2559076,2198485734,305511650,95660604,25630634,10005457
2020-07-01,580435,1973367,1651964910,274604034,88060706,28910778,12889942
2020-08-01,595741,2298639,1497677321,226310758,80571561,29257030,12178310
2020-09-01,539694,2208316,1901418336,244364071,88697907,29434147,13122806
2020-10-01,614060,2488163,2191619113,293498119,102756691,38344513,14646120
2020-11-01,662315,2964303,2199759776,308857257,118830971,36692739,15068174
2020-12-01,662315,2964303,2020266345,241572846,101462184,49943881,17496661
2021-01-01,717675,4033935,2158886167,298626857,126533999,63730572,17283152
2021-02-01,497610,2980640,2267485588,301313135,127574474,66812037,14939919
2021-03-01,576040,3041177,2206968848,322307649,109033007,47321035,16954533
2021-04-01,462370,3174773,1903088049,233713960,106762886,50599551,21129647
2021-05-01,437445,3294653,1884654092,229461119,125134770,37071256,16850839
2021-06-01,437445,3294653,1741698759,195993840,105036686,28779488,12128980
2021-07-01,418155,3869348,1603565025,154151591,109187133,36273151,12891437
2021-08-01,333275,3923911,1314933360,149219387,105719281,29865412,12898156
2021-09-01,461815,5572506,1487362554,203804691,145834200,43979166,11955189
2021-10-01,342865,4849802,967793164,151858023,194660173,54363538,19297992
2021-11-01,257705,4172078,962597658,208251923,166414236,54970347,19110173
2021-12-01,325315,4601817,1111380199,219476393,242361448,70729638,23494918
2022-01-01,399218,4824918,1241622321,286897894,221005656,67183584,21170859
2022-02-01,381845,4857141,1238242848,261850028,209920434,56795641,22890789
2022-03-01,504145,5500597,1265229617,292759108,355827772,70308295,28424072
2022-04-01,381615,2877238,854836550,233691854,238382803,5391276,31949835
2022-05-01,383560,3049731,913302653,241527596,271796068,26215814,0
2022-06-01,372655,3390400,870119385,205597975,243556325,2842466,25612280
2022-07-01,373405,3081318,732852414,132685909,302226428,2429588,27935702
2022-08-01,355170,3365902,762135630,190067894,275448414,2950965,19456851
2022-09-01,346705,2979236,832512127,253496074,294400305,5430224,16868834
2022-10-01,314275,2960409,801694697,252822544,266440521,127589722,23133632
2022-11-01,298020,3192214,,,314226234,121416235,22784316
2022-12-01,300785,3075927,,,278125677,120120393,32670517
2023-01-01,388679,5003420,,,318817413,99260641,32071655
2023-02-01,315745,4122563,,,272649892,88548091,24558013
2023-03-01,424825,5615690,,,303690351,96861275,35763403
2023-04-01,330720,4293425,,,238117469,70755544,2774874
2023-05-01,402260,5733640,,,257369896,67953024,21707940
2023-06-01,454105,7737562,,,319709054,57399786,24153577
2023-07-01,417845,5915959,,,291377894,51284855,24123205
2023-08-01,385510,6588649,,,291617631,59110452,26932900
2023-09-01,441150,6192644,,,304192719,56555607,27084792
2023-10-01,502200,7478762,,,341571563,66792144,28827773
2023-11-01,439035,6710293,,,368575227,65118535,31381121
2023-12-01,389170,5780878,,,310774364,66466018,32231490
2024-01-01,580105,7587109,,,350931997,68986991,27044463
2024-02-01,537400,7408094,,,318268874,61052860,24068874
2024-03-01,623105,7398317,,,110394389,60485713,29900997
2024-04-01,535975,8813336,,,90876211,58540020378,21691
