Company,Europe,Spain,Germany,UK,France,Sweden,Belgium,Italy,Norway,Denmark,Netherlands,Ireland,Other Europe
Amazon,8,3.059,0.626,1.224,0,0.746,0,0.106,0,0,0.38,0.344,1.515
Google,3.5,0.184,0.19,0.1,0,0.603,0.246,0.047,0.16,0.138,1.134,0.058,0.64
Microsoft,2.167,0.33,0.323,0,0,0.086,0,0,0,0.181,0.27,0.977,0
Alcoa,1.867,0.445,0,0,0,0,0,0,1.422,0,0,0,0
Norsk Hydro,1.486,0,0,0,0,0.998,0,,0.488,0,0,0,0
LyondellBasell,1.027,0.413,0.322,0,0,0.23,0,0.037,,0,0.025,0,0
Equinix,1,0.525,0,0,0.1,0.015,0,0.053,0,0,0,0,0.307
Meta,0.959,0,0,0,0,0,0,0,0.294,0.21,0,0.455,0
Mytilineos,0.8,0,0,0,0,0,0,0,0,0,0,0,0.8
SNCF Energie,0.746,0,0,0,0.746,0,0,0,0,0,0,0,0
Boliden,0.7,0,0,0,0,0,0,0,0.604,0,0,0,0.096
Salzgitter,0.687,0,0.687,0,0,0,0,0,0,0,0,0,0
BASF,0.507,0.321,0.186,0,0,0,0,0,0,0,0,0,0
Orange,0.5,0,0,0,0.247,0,0,0,0,0,0,0,0.253
Tesco,0.456,0,0,0.456,0,0,0,0,0,0,0,0,0
Renfe,0.414,0.414,0,0,0,0,0,0,0,0,0,0,0
Air Liquide,0.4,0,0,0,0,0,0,0,0,0,0.255,0,0.145
Borealis,0.4,0,0,0,0,0,0.163,0,0,0,0,0,0.237
Volkswagen,0.385,0,0.385,0,0,0,0,0,0,0,0,0,0
Renault,0.35,0,0,0,0.35,0,0,0,0,0,0,0,0
Deutsche Bahn,0.345,0,0.345,0,0,0,0,0,0,0,0,0,0
Mercedes Benz,0.326,0,0.326,0,0,0,0,0,0,0,0,0,0
Arkema,0.307,0,0,0,0.307,0,0,0,0,0,0,0,0
Mercadona,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0
Evonik,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0
BT Group,0.279,0,0,0.279,0,0,0,0,0,0,0,0,0
Novartis,0.277,0.277,0,0,0,0,0,0,0,0,0,0,0
Telecom Italia,0.26,0,0,0,0,0,0,0.26,0,0,0,0,0
Vodafone,0.259,0,0,0.244,0,0,0,0,0,0,0,0.015,0
Ineos,0.256,0,0,0,0,0,0.256,0,0,0,0,0,0
Saint-Gobain,0.196,0,0,0,0.181,0,0,0.015,0,0,0,0,0
O-I,0.192,0,0,0,0.192,0,0,0,0,0,0,0,0
Kimberley-Clark,0.173,0,0,0.106,0,0,0,0.067,0,0,0,0,0
Les Mousquetaires,0.16,0,0,0,0.16,0,0,0,0,0,0,0,0
ST Microelectronics,0.158,0,0,0,0,0,0,0.158,0,0,0,0,0
Umicore,0.156,0,0,0,0,0,0.156,0,0,0,0,0,0
Nestlé,0.136,0,0,0,0.136,0,0,0,0,0,0,0,0
HSBC,0.115,0,0,0.115,0,0,0,0,0,0,0,0,0
IBM,0.11,0,0,0,0.11,0,0,0,0,0,0,0,0
Network Rail,0.109,0,0,0.109,0,0,0,0,0,0,0,0,0
Barclays,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0
Kerry Group,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0
Covestro,0.039,0,0,0,0,0,0.039,0,0,0,0,0,0
