"Country,Inter-regional pipeline trade,LNG trade"
"2000,390.1,108.7"
"2001,391.7,114.3"
"2002,407,92.2"
"2003,409.9,136"
"2004,452.6,146.3"
"2005,473.3,170"
"2006,484.4,184.8"
"2007,502.8,199.6"
"2008,529.8,203.7"
"2009,425,219.1"
"2010,438.9,267.3"
"2011,469.2,289.3"
"2012,462.7,280.5"
"2013,461.6,278.8"
"2014,437.9,282.9"
"2015,447.7,281.9"
"2016,481.8,292.6"
"2017,511.8,319"
"2018,512.4,355.5"
"2019,510.8,406.9"
"2020,459.6,417.3"
"2021,509.3,448.4"
"2022,427.4,456.8"
"2023,387.7,466.2"
"2024,419.5,465.3"
