Country,North America,S. & Cent. America,Europe,CIS,Middle East,Africa,Asia Pacific,,
1965,3774,309,3441,1907,132,198,1435,,
1966,3977,325,3487,2015,137,206,1566,,
1967,4090,336,3556,2107,145,206,1621,,
1968,4328,355,3769,2158,152,216,1716,,
1969,4517,370,4019,2244,161,219,1964,,
1970,4701,395,4236,2321,170,234,2253,,
1971,4750,414,4301,2415,182,253,2446,,
1972,4993,441,4444,2530,196,263,2605,,
1973,5241,482,4673,2640,217,284,2793,,
1974,5089,503,4550,2742,229,296,2818,,
1975,4916,500,4449,2872,224,313,2973,,
1976,5199,526,4725,2959,255,339,3097,,
1977,5374,553,4733,3059,290,354,3274,,
1978,5423,570,4765,3159,303,365,3440,,
1979,5532,600,4918,3218,354,392,3552,,
1980,5381,609,4808,3237,341,427,3570,,
1981,5228,606,4603,3275,366,483,3585,,
1982,4999,597,4504,3340,405,524,3628,,
1983,4938,584,4469,3381,448,545,3794,,
1984,5194,594,4492,3445,502,562,4012,,
1985,5213,593,5401,2752,533,581,4164,,
1986,5222,624,5456,2816,543,587,4313,,
1987,5396,642,5516,2880,575,610,4578,,
1988,5647,657,5464,2915,606,648,4917,,
1989,5769,672,5450,2909,637,638,5153,,
1990,5697,663,5453,2849,673,658,5334,,
1991,5639,669,5332,2756,705,651,5598,,
1992,5739,698,5080,2623,761,668,5849,,
1993,5851,713,4915,2387,783,674,6162,,
1994,5968,758,4751,2171,874,695,6485,,
1995,6004,798,4819,2023,897,718,6744,,
1996,6203,825,4906,1958,918,736,7060,,
1997,6309,870,4840,1833,964,752,7208,,
1998,6380,898,4846,1809,982,758,7154,,
1999,6432,888,4766,1803,999,779,7434,,
2000,6644,925,4801,1802,1049,793,7685,,
2001,6559,948,4842,1830,1094,811,7938,,
2002,6610,944,4842,1831,1146,818,8364,,
2003,6689,942,4969,1868,1189,862,9236,,
2004,6808,1005,4990,1890,1287,933,10218,,
2005,6885,1022,4986,1871,1341,935,11179,,
2006,6803,1074,5053,1951,1405,954,11855,,
2007,6925,1132,5016,1958,1474,986,12642,,
2008,6737,1164,4928,1997,1589,1051,12949,,
2009,6294,1124,4557,1874,1598,1065,13240,,
2010,6499,1194,4675,1937,1694,1094,13976,,
2011,6377,1241,4595,2039,1748,1100,14808,,
2012,6134,1301,4537,2085,1820,1138,15237,,
2013,6303,1345,4435,2043,1890,1169,15518,,
2014,6300,1376,4203,2063,1937,1198,15728,,
2015,6178,1358,4210,1990,2006,1209,15827,,
2016,6077,1331,4250,2023,2073,1243,15786,,
2017,6045,1315,4311,2021,2086,1274,16295,,
2018,6198,1276,4258,2108,2093,1287,16835,,
2019,6026,1257,4082,2084,2098,1315,17229,,
2020,5382,1115,3625,1987,2042,1231,16959,,
2021,5709,1250,3866,2070,2094,1336,17693,,
2022,5792,1274,3783,2163,2207,1344,18015,,
2023,5649,1308,3547,2179,2258,1335,18853,,
