Country,France,Germany,Italy,Romania,Spain,Sweden,Turkey,United Kingdom,Other Europe
1997,0,2,0,0,1,0,0,0,2
1998,0,3,0,0,1,0,0,0,2
1999,0,4,0,0,1,0,0,0,3
2000,0,6,0,0,2,0,0,0,3
2001,0,9,1,0,3,0,0,0,4
2002,0,12,1,0,5,0,0,1,5
2003,0,14,1,0,6,0,0,1,6
2004,0,16,1,0,8,0,0,1,7
2005,1,18,2,0,10,1,0,2,8
2006,1,20,2,0,12,1,0,2,10
2007,2,22,3,0,15,1,0,2,11
2008,3,23,4,0,17,1,0,3,13
2009,5,26,5,0,19,1,1,4,16
2010,6,27,6,0,21,2,1,5,18
2011,7,29,7,1,22,3,2,7,20
2012,8,31,8,2,23,4,2,9,23
2013,8,33,9,3,23,4,3,11,27
2014,9,39,9,3,23,5,4,13,29
2015,10,45,9,3,23,6,5,14,33
2016,12,49,9,3,23,6,6,16,37
2017,13,56,10,3,23,7,7,20,39
2018,15,59,10,3,23,7,7,22,43
2019,16,61,11,3,26,9,8,24,47
2020,18,62,11,3,27,10,9,24,53
2021,19,64,11,3,28,12,11,26,59
2022,21,66,12,3,30,14,11,29,65
2023,22,69,12,3,31,16,12,30,72
